NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B25075_001E,B25026_002E,B25026_008E,B25026_007E,B25026_006E,B25026_006E,B25026_004E,B25026_003E,B25077_001E,B25075_025E,B15003_022E,B17001_001E,B19001_017E,B19013_001E
"Walker County, Alabama",0500000US01127,65593.0,42.3,59932.0,18772.0,48168.0,6346.0,4355.0,9760.0,9760.0,8945.0,517.0,84800.0,16.0,2805.0,64630.0,434.0,37025.0
"Washington County, Alabama",0500000US01129,16909.0,41.4,11082.0,5115.0,13662.0,2183.0,1240.0,2928.0,2928.0,2057.0,56.0,81100.0,0.0,710.0,16591.0,55.0,40293.0
"Wilcox County, Alabama",0500000US01131,11119.0,40.2,3050.0,2376.0,7659.0,1219.0,1215.0,1973.0,1973.0,834.0,79.0,81600.0,9.0,545.0,10799.0,29.0,24442.0
"Winston County, Alabama",0500000US01133,24013.0,44.1,23191.0,7158.0,17855.0,2543.0,1711.0,4562.0,4562.0,2350.0,441.0,77700.0,30.0,1387.0,23500.0,86.0,33896.0
"Aleutians East Borough, Alaska",0500000US02013,3299.0,42.8,630.0,443.0,1153.0,188.0,203.0,340.0,340.0,112.0,25.0,124500.0,0.0,250.0,3291.0,33.0,65926.0
"Aleutians West Census Area, Alaska",0500000US02016,5714.0,37.6,1763.0,336.0,1245.0,110.0,206.0,242.0,242.0,182.0,36.0,211400.0,0.0,479.0,5544.0,97.0,86964.0
"Anchorage Municipality, Alaska",0500000US02020,299321.0,32.8,192329.0,63267.0,181438.0,8196.0,15448.0,33366.0,33366.0,44302.0,5387.0,298000.0,317.0,41512.0,292059.0,9257.0,80862.0
"Bethel Census Area, Alaska",0500000US02050,17885.0,26.8,1976.0,2921.0,11892.0,1216.0,2976.0,2589.0,2589.0,1317.0,95.0,151400.0,1.0,671.0,17373.0,124.0,53296.0
"Bristol Bay Borough, Alaska",0500000US02060,942.0,40.7,525.0,197.0,515.0,60.0,80.0,134.0,134.0,95.0,3.0,199000.0,0.0,87.0,924.0,18.0,88000.0
"Denali Borough, Alaska",0500000US02068,2125.0,37.3,1817.0,533.0,1212.0,56.0,115.0,210.0,210.0,301.0,14.0,228600.0,7.0,449.0,2066.0,41.0,81302.0
"Dillingham Census Area, Alaska",0500000US02070,4980.0,29.7,893.0,832.0,3121.0,195.0,634.0,883.0,883.0,307.0,37.0,196400.0,0.0,307.0,4945.0,44.0,56055.0
"Fairbanks North Star Borough, Alaska",0500000US02090,100150.0,30.7,76617.0,21005.0,59114.0,3270.0,6227.0,9377.0,9377.0,14432.0,1621.0,224000.0,24.0,12675.0,95949.0,2080.0,73831.0
"Haines Borough, Alaska",0500000US02100,2528.0,44.6,1970.0,803.0,1706.0,25.0,205.0,424.0,424.0,420.0,19.0,198400.0,2.0,513.0,2513.0,78.0,53125.0
"Hoonah-Angoon Census Area, Alaska",0500000US02105,2107.0,48.4,1070.0,597.0,1375.0,273.0,183.0,320.0,320.0,271.0,10.0,235100.0,9.0,260.0,2106.0,9.0,54091.0
"Juneau City and Borough, Alaska",0500000US02110,32524.0,37.5,22575.0,7816.0,21385.0,1043.0,1955.0,5213.0,5213.0,5003.0,755.0,329500.0,42.0,5631.0,31859.0,952.0,87436.0
"Kenai Peninsula Borough, Alaska",0500000US02122,57637.0,40.5,48208.0,15382.0,39803.0,1860.0,3883.0,7804.0,7804.0,8553.0,1125.0,229200.0,43.0,5805.0,56295.0,1045.0,64891.0
"Ketchikan Gateway Borough, Alaska",0500000US02130,13715.0,39.2,9264.0,3100.0,8436.0,670.0,849.0,1828.0,1828.0,1379.0,119.0,257100.0,11.0,1469.0,13510.0,307.0,64162.0
"Kodiak Island Borough, Alaska",0500000US02150,13918.0,32.7,7516.0,2785.0,8516.0,527.0,808.0,1359.0,1359.0,1660.0,290.0,266700.0,0.0,1569.0,13623.0,216.0,73068.0
"Kusilvak Census Area, Alaska",0500000US02158,7993.0,23.3,312.0,1284.0,6100.0,588.0,1532.0,1442.0,1442.0,534.0,9.0,101300.0,0.0,110.0,7954.0,9.0,38160.0
"Lake and Peninsula Borough, Alaska",0500000US02164,1411.0,31.9,300.0,318.0,888.0,69.0,264.0,205.0,205.0,108.0,1.0,143800.0,5.0,63.0,1401.0,8.0,43864.0
"Matanuska-Susitna Borough, Alaska",0500000US02170,98679.0,34.8,82571.0,23382.0,75331.0,1519.0,5198.0,13107.0,13107.0,17899.0,2156.0,230100.0,45.0,8599.0,96720.0,1718.0,73908.0
"Nome Census Area, Alaska",0500000US02180,9879.0,27.7,1623.0,1732.0,6086.0,776.0,984.0,1461.0,1461.0,936.0,53.0,138300.0,0.0,556.0,9600.0,99.0,51563.0
"North Slope Borough, Alaska",0500000US02185,9681.0,33.8,3150.0,1010.0,3557.0,370.0,804.0,919.0,919.0,289.0,103.0,154100.0,0.0,615.0,9545.0,159.0,72027.0
"Northwest Arctic Borough, Alaska",0500000US02188,7723.0,26.3,890.0,1044.0,4503.0,558.0,1050.0,1247.0,1247.0,473.0,20.0,146400.0,9.0,301.0,7638.0,79.0,61341.0
"Petersburg Borough, Alaska",0500000US02195,3196.0,40.8,2391.0,840.0,2269.0,199.0,432.0,408.0,408.0,483.0,8.0,213400.0,0.0,385.0,3166.0,56.0,63940.0
"Prince of Wales-Hyder Census Area, Alaska",0500000US02198,6374.0,40.5,2941.0,1625.0,4504.0,631.0,539.0,956.0,956.0,722.0,94.0,171100.0,11.0,426.0,6302.0,39.0,51887.0
"Sitka City and Borough, Alaska",0500000US02220,8921.0,39.1,5744.0,1960.0,5259.0,579.0,412.0,1285.0,1285.0,1163.0,162.0,341600.0,0.0,1148.0,8799.0,171.0,70160.0
"Skagway Municipality, Alaska",0500000US02230,1014.0,44.1,815.0,233.0,550.0,22.0,71.0,132.0,132.0,125.0,9.0,305700.0,2.0,217.0,1009.0,9.0,64853.0
"Southeast Fairbanks Census Area, Alaska",0500000US02240,6970.0,36.4,5444.0,1494.0,4613.0,381.0,600.0,1037.0,1037.0,798.0,41.0,201600.0,26.0,500.0,6906.0,56.0,63713.0
"Valdez-Cordova Census Area, Alaska",0500000US02261,9522.0,37.6,7023.0,2105.0,6514.0,440.0,841.0,1063.0,1063.0,1134.0,15.0,227900.0,0.0,1355.0,9397.0,221.0,82511.0
"Wrangell City and Borough, Alaska",0500000US02275,2401.0,48.8,1621.0,716.0,1695.0,216.0,150.0,367.0,367.0,335.0,36.0,183300.0,0.0,247.0,2383.0,25.0,52986.0
"Yakutat City and Borough, Alaska",0500000US02282,646.0,40.5,290.0,149.0,372.0,56.0,46.0,102.0,102.0,53.0,10.0,165800.0,0.0,78.0,646.0,3.0,66875.0
"Yukon-Koyukuk Census Area, Alaska",0500000US02290,5600.0,35.2,1250.0,1404.0,3885.0,620.0,798.0,853.0,853.0,472.0,27.0,90800.0,0.0,274.0,5541.0,25.0,38451.0
"Apache County, Arizona",0500000US04001,72346.0,33.5,16307.0,14882.0,54288.0,6708.0,8872.0,14720.0,14720.0,6643.0,513.0,77900.0,53.0,3129.0,70874.0,95.0,32460.0
"Cochise County, Arizona",0500000US04003,128177.0,40.3,106136.0,33380.0,77561.0,5525.0,6707.0,14714.0,14714.0,15861.0,1330.0,140700.0,68.0,13036.0,117212.0,1316.0,45383.0
"Coconino County, Arizona",0500000US04005,138064.0,30.7,87335.0,28005.0,76626.0,4765.0,8469.0,18903.0,18903.0,14280.0,1740.0,231300.0,205.0,16006.0,127204.0,1876.0,51106.0
"Gila County, Arizona",0500000US04007,53179.0,48.9,41812.0,15383.0,36642.0,3418.0,3259.0,7028.0,7028.0,7562.0,1492.0,139800.0,29.0,4161.0,52294.0,303.0,40593.0
"Graham County, Arizona",0500000US04009,37529.0,32.4,29600.0,7570.0,22667.0,2093.0,2086.0,4219.0,4219.0,4610.0,359.0,121400.0,3.0,1863.0,32972.0,135.0,47422.0
"Greenlee County, Arizona",0500000US04011,9224.0,33.3,8333.0,1500.0,3693.0,358.0,517.0,970.0,970.0,445.0,0.0,81600.0,0.0,546.0,9084.0,55.0,51813.0
"La Paz County, Arizona",0500000US04012,20304.0,55.1,15274.0,6885.0,14634.0,616.0,1344.0,2937.0,2937.0,3408.0,407.0,71200.0,5.0,1021.0,20079.0,77.0,36321.0
"Maricopa County, Arizona",0500000US04013,4088549.0,35.8,3214001.0,884770.0,2432636.0,93996.0,133403.0,426166.0,426166.0,655476.0,84779.0,204900.0,8589.0,527975.0,4035348.0,76631.0,55676.0
"Mohave County, Arizona",0500000US04015,203629.0,49.7,182395.0,54832.0,125288.0,2779.0,8059.0,23067.0,23067.0,31477.0,4911.0,130000.0,188.0,11921.0,196049.0,1321.0,39856.0
